sectperf;unit;geo;time;values
Business enterprise sector;Percentage of gross domestic product (GDP);Netherlands;2000-01-01;0.99
Business enterprise sector;Percentage of gross domestic product (GDP);Poland;2000-01-01;0.23
Business enterprise sector;Percentage of gross domestic product (GDP);Portugal;2000-01-01;0.2
Business enterprise sector;Percentage of gross domestic product (GDP);Romania;2000-01-01;0.25
Business enterprise sector;Percentage of gross domestic product (GDP);Russia;2000-01-01;0.69
Business enterprise sector;Percentage of gross domestic product (GDP);Slovenia;2000-01-01;0.76
Business enterprise sector;Percentage of gross domestic product (GDP);Slovakia;2000-01-01;0.42
Business enterprise sector;Percentage of gross domestic product (GDP);Turkey;2000-01-01;0.16
Business enterprise sector;Percentage of gross domestic product (GDP);United Kingdom;2000-01-01;1.06
Business enterprise sector;Percentage of gross domestic product (GDP);United States;2000-01-01;1.95
Government sector;Percentage of gross domestic product (GDP);Belgium;2000-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Bulgaria;2000-01-01;0.34
Government sector;Percentage of gross domestic product (GDP);Switzerland;2000-01-01;0.03
Government sector;Percentage of gross domestic product (GDP);Cyprus;2000-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Czechia;2000-01-01;0.28
Government sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2000-01-01;0.32
Government sector;Percentage of gross domestic product (GDP);Denmark;2000-01-01;0.28
Government sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2000-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Estonia;2000-01-01;0.14
Government sector;Percentage of gross domestic product (GDP);Spain;2000-01-01;0.14
Government sector;Percentage of gross domestic product (GDP);European Union (current composition);2000-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Finland;2000-01-01;0.34
Government sector;Percentage of gross domestic product (GDP);France;2000-01-01;0.36
Government sector;Percentage of gross domestic product (GDP);Hungary;2000-01-01;0.21
Government sector;Percentage of gross domestic product (GDP);Ireland;2000-01-01;0.09
Government sector;Percentage of gross domestic product (GDP);Iceland;2000-01-01;0.66
Government sector;Percentage of gross domestic product (GDP);Italy;2000-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);Japan;2000-01-01;0.29
Government sector;Percentage of gross domestic product (GDP);South Korea;2000-01-01;0.29
Government sector;Percentage of gross domestic product (GDP);Lithuania;2000-01-01;0.25
Government sector;Percentage of gross domestic product (GDP);Luxembourg;2000-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Latvia;2000-01-01;0.1
Government sector;Percentage of gross domestic product (GDP);Netherlands;2000-01-01;0.22
Government sector;Percentage of gross domestic product (GDP);Poland;2000-01-01;0.21
Government sector;Percentage of gross domestic product (GDP);Portugal;2000-01-01;0.17
Government sector;Percentage of gross domestic product (GDP);Romania;2000-01-01;0.07
Government sector;Percentage of gross domestic product (GDP);Russia;2000-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Slovenia;2000-01-01;0.35
Government sector;Percentage of gross domestic product (GDP);Slovakia;2000-01-01;0.16
Government sector;Percentage of gross domestic product (GDP);Turkey;2000-01-01;0.03
Government sector;Percentage of gross domestic product (GDP);United Kingdom;2000-01-01;0.21
Government sector;Percentage of gross domestic product (GDP);United States;2000-01-01;0.28
Higher education sector;Percentage of gross domestic product (GDP);Belgium;2000-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Bulgaria;2000-01-01;0.05
Higher education sector;Percentage of gross domestic product (GDP);Switzerland;2000-01-01;0.53
Higher education sector;Percentage of gross domestic product (GDP);Cyprus;2000-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Czechia;2000-01-01;0.16
Higher education sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2000-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Denmark;2000-01-01;0.43
Higher education sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2000-01-01;0.37
Higher education sector;Percentage of gross domestic product (GDP);Estonia;2000-01-01;0.31
Higher education sector;Percentage of gross domestic product (GDP);Spain;2000-01-01;0.26
Higher education sector;Percentage of gross domestic product (GDP);European Union (current composition);2000-01-01;0.37
Higher education sector;Percentage of gross domestic product (GDP);Finland;2000-01-01;0.58
Higher education sector;Percentage of gross domestic product (GDP);France;2000-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Hungary;2000-01-01;0.19
Higher education sector;Percentage of gross domestic product (GDP);Ireland;2000-01-01;0.22
Higher education sector;Percentage of gross domestic product (GDP);Iceland;2000-01-01;0.42
Higher education sector;Percentage of gross domestic product (GDP);Italy;2000-01-01;0.31
Higher education sector;Percentage of gross domestic product (GDP);Japan;2000-01-01;0.42
Higher education sector;Percentage of gross domestic product (GDP);South Korea;2000-01-01;0.25
Higher education sector;Percentage of gross domestic product (GDP);Lithuania;2000-01-01;0.21
Higher education sector;Percentage of gross domestic product (GDP);Luxembourg;2000-01-01;0
Higher education sector;Percentage of gross domestic product (GDP);Latvia;2000-01-01;0.16
Higher education sector;Percentage of gross domestic product (GDP);Netherlands;2000-01-01;0.57
Higher education sector;Percentage of gross domestic product (GDP);Poland;2000-01-01;0.2
Higher education sector;Percentage of gross domestic product (GDP);Portugal;2000-01-01;0.27
Higher education sector;Percentage of gross domestic product (GDP);Romania;2000-01-01;0.04
Higher education sector;Percentage of gross domestic product (GDP);Russia;2000-01-01;0.04
Higher education sector;Percentage of gross domestic product (GDP);Slovenia;2000-01-01;0.23
Higher education sector;Percentage of gross domestic product (GDP);Slovakia;2000-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Turkey;2000-01-01;0.28
Higher education sector;Percentage of gross domestic product (GDP);United Kingdom;2000-01-01;0.33
Higher education sector;Percentage of gross domestic product (GDP);United States;2000-01-01;0.3
Private non-profit sector;Percentage of gross domestic product (GDP);Belgium;2000-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Bulgaria;2000-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Switzerland;2000-01-01;0.04
Private non-profit sector;Percentage of gross domestic product (GDP);Cyprus;2000-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Czechia;2000-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Denmark;2000-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2000-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Estonia;2000-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Spain;2000-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);European Union (current composition);2000-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Finland;2000-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);France;2000-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Iceland;2000-01-01;0.05
Private non-profit sector;Percentage of gross domestic product (GDP);Japan;2000-01-01;0.13
Private non-profit sector;Percentage of gross domestic product (GDP);South Korea;2000-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Latvia;2000-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Netherlands;2000-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Poland;2000-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Portugal;2000-01-01;0.08
Private non-profit sector;Percentage of gross domestic product (GDP);Russia;2000-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Slovenia;2000-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Slovakia;2000-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Turkey;2000-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);United Kingdom;2000-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);United States;2000-01-01;0.1
All sectors;Percentage of gross domestic product (GDP);Austria;2000-01-01;1.89
All sectors;Percentage of gross domestic product (GDP);Belgium;2000-01-01;1.92
All sectors;Percentage of gross domestic product (GDP);Bulgaria;2000-01-01;0.5
All sectors;Percentage of gross domestic product (GDP);Switzerland;2000-01-01;2.32
All sectors;Percentage of gross domestic product (GDP);Cyprus;2000-01-01;0.23
All sectors;Percentage of gross domestic product (GDP);Czechia;2000-01-01;1.12
All sectors;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2000-01-01;2.4
All sectors;Percentage of gross domestic product (GDP);Denmark;2000-01-01;2.19
All sectors;Percentage of gross domestic product (GDP);Euro area (19 countries);2000-01-01;1.78
All sectors;Percentage of gross domestic product (GDP);Estonia;2000-01-01;0.6
All sectors;Percentage of gross domestic product (GDP);Spain;2000-01-01;0.89
All sectors;Percentage of gross domestic product (GDP);European Union (current composition);2000-01-01;1.77
All sectors;Percentage of gross domestic product (GDP);Finland;2000-01-01;3.25
All sectors;Percentage of gross domestic product (GDP);France;2000-01-01;2.09
All sectors;Percentage of gross domestic product (GDP);Hungary;2000-01-01;0.79
All sectors;Percentage of gross domestic product (GDP);Ireland;2000-01-01;1.09
All sectors;Percentage of gross domestic product (GDP);Iceland;2000-01-01;2.58
All sectors;Percentage of gross domestic product (GDP);Italy;2000-01-01;1.01
All sectors;Percentage of gross domestic product (GDP);Japan;2000-01-01;2.91
All sectors;Percentage of gross domestic product (GDP);South Korea;2000-01-01;2.18
All sectors;Percentage of gross domestic product (GDP);Lithuania;2000-01-01;0.58
All sectors;Percentage of gross domestic product (GDP);Luxembourg;2000-01-01;1.58
All sectors;Percentage of gross domestic product (GDP);Latvia;2000-01-01;0.44
All sectors;Percentage of gross domestic product (GDP);Netherlands;2000-01-01;1.79
All sectors;Percentage of gross domestic product (GDP);Poland;2000-01-01;0.64
All sectors;Percentage of gross domestic product (GDP);Portugal;2000-01-01;0.72
All sectors;Percentage of gross domestic product (GDP);Romania;2000-01-01;0.36
All sectors;Percentage of gross domestic product (GDP);Russia;2000-01-01;0.98
All sectors;Percentage of gross domestic product (GDP);Slovenia;2000-01-01;1.36
All sectors;Percentage of gross domestic product (GDP);Slovakia;2000-01-01;0.64
All sectors;Percentage of gross domestic product (GDP);Turkey;2000-01-01;0.47
All sectors;Percentage of gross domestic product (GDP);United Kingdom;2000-01-01;1.63
All sectors;Percentage of gross domestic product (GDP);United States;2000-01-01;2.63
Business enterprise sector;Percentage of gross domestic product (GDP);Belgium;2001-01-01;1.48
Business enterprise sector;Percentage of gross domestic product (GDP);Bulgaria;2001-01-01;0.09
Business enterprise sector;Percentage of gross domestic product (GDP);Cyprus;2001-01-01;0.05
Business enterprise sector;Percentage of gross domestic product (GDP);Czechia;2001-01-01;0.67
Business enterprise sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2001-01-01;1.67
Business enterprise sector;Percentage of gross domestic product (GDP);Denmark;2001-01-01;1.59
Business enterprise sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2001-01-01;1.14
Business enterprise sector;Percentage of gross domestic product (GDP);Estonia;2001-01-01;0.24
Business enterprise sector;Percentage of gross domestic product (GDP);Greece;2001-01-01;0.18
Business enterprise sector;Percentage of gross domestic product (GDP);Spain;2001-01-01;0.47
Business enterprise sector;Percentage of gross domestic product (GDP);European Union (current composition);2001-01-01;1.15
Business enterprise sector;Percentage of gross domestic product (GDP);Finland;2001-01-01;2.27
Business enterprise sector;Percentage of gross domestic product (GDP);France;2001-01-01;1.35
Business enterprise sector;Percentage of gross domestic product (GDP);Hungary;2001-01-01;0.37
Business enterprise sector;Percentage of gross domestic product (GDP);Ireland;2001-01-01;0.74
Business enterprise sector;Percentage of gross domestic product (GDP);Iceland;2001-01-01;1.68
Business enterprise sector;Percentage of gross domestic product (GDP);Italy;2001-01-01;0.51
Business enterprise sector;Percentage of gross domestic product (GDP);Japan;2001-01-01;2.19
Business enterprise sector;Percentage of gross domestic product (GDP);South Korea;2001-01-01;1.78
Business enterprise sector;Percentage of gross domestic product (GDP);Lithuania;2001-01-01;0.19
Business enterprise sector;Percentage of gross domestic product (GDP);Latvia;2001-01-01;0.15
Business enterprise sector;Percentage of gross domestic product (GDP);Netherlands;2001-01-01;0.98
Business enterprise sector;Percentage of gross domestic product (GDP);Norway;2001-01-01;0.93
Business enterprise sector;Percentage of gross domestic product (GDP);Poland;2001-01-01;0.22
Business enterprise sector;Percentage of gross domestic product (GDP);Portugal;2001-01-01;0.24
Business enterprise sector;Percentage of gross domestic product (GDP);Romania;2001-01-01;0.24
Business enterprise sector;Percentage of gross domestic product (GDP);Russia;2001-01-01;0.77
Business enterprise sector;Percentage of gross domestic product (GDP);Sweden;2001-01-01;3.03
Business enterprise sector;Percentage of gross domestic product (GDP);Slovenia;2001-01-01;0.85
Business enterprise sector;Percentage of gross domestic product (GDP);Slovakia;2001-01-01;0.42
Business enterprise sector;Percentage of gross domestic product (GDP);Turkey;2001-01-01;0.18
Business enterprise sector;Percentage of gross domestic product (GDP);United Kingdom;2001-01-01;1.06
Business enterprise sector;Percentage of gross domestic product (GDP);United States;2001-01-01;1.91
Government sector;Percentage of gross domestic product (GDP);Belgium;2001-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Bulgaria;2001-01-01;0.3
Government sector;Percentage of gross domestic product (GDP);Cyprus;2001-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Czechia;2001-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2001-01-01;0.33
Government sector;Percentage of gross domestic product (GDP);Denmark;2001-01-01;0.27
Government sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2001-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Estonia;2001-01-01;0.1
Government sector;Percentage of gross domestic product (GDP);Greece;2001-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Spain;2001-01-01;0.14
Government sector;Percentage of gross domestic product (GDP);European Union (current composition);2001-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Finland;2001-01-01;0.33
Government sector;Percentage of gross domestic product (GDP);France;2001-01-01;0.35
Government sector;Percentage of gross domestic product (GDP);Hungary;2001-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Ireland;2001-01-01;0.09
Government sector;Percentage of gross domestic product (GDP);Iceland;2001-01-01;0.57
Government sector;Percentage of gross domestic product (GDP);Italy;2001-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);Japan;2001-01-01;0.28
Government sector;Percentage of gross domestic product (GDP);South Korea;2001-01-01;0.29
Government sector;Percentage of gross domestic product (GDP);Lithuania;2001-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Luxembourg;2001-01-01;0.14
Government sector;Percentage of gross domestic product (GDP);Latvia;2001-01-01;0.09
Government sector;Percentage of gross domestic product (GDP);Netherlands;2001-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Norway;2001-01-01;0.23
Government sector;Percentage of gross domestic product (GDP);Poland;2001-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);Portugal;2001-01-01;0.16
Government sector;Percentage of gross domestic product (GDP);Romania;2001-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Russia;2001-01-01;0.27
Government sector;Percentage of gross domestic product (GDP);Sweden;2001-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Slovenia;2001-01-01;0.36
Government sector;Percentage of gross domestic product (GDP);Slovakia;2001-01-01;0.15
Government sector;Percentage of gross domestic product (GDP);Turkey;2001-01-01;0.04
Government sector;Percentage of gross domestic product (GDP);United Kingdom;2001-01-01;0.16
Government sector;Percentage of gross domestic product (GDP);United States;2001-01-01;0.31
Higher education sector;Percentage of gross domestic product (GDP);Belgium;2001-01-01;0.4
Higher education sector;Percentage of gross domestic product (GDP);Bulgaria;2001-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Cyprus;2001-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Czechia;2001-01-01;0.17
Higher education sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2001-01-01;0.4
Higher education sector;Percentage of gross domestic product (GDP);Denmark;2001-01-01;0.44
Higher education sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2001-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Estonia;2001-01-01;0.35
Higher education sector;Percentage of gross domestic product (GDP);Greece;2001-01-01;0.25
Higher education sector;Percentage of gross domestic product (GDP);Spain;2001-01-01;0.28
Higher education sector;Percentage of gross domestic product (GDP);European Union (current composition);2001-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Finland;2001-01-01;0.58
Higher education sector;Percentage of gross domestic product (GDP);France;2001-01-01;0.4
Higher education sector;Percentage of gross domestic product (GDP);Hungary;2001-01-01;0.23
Higher education sector;Percentage of gross domestic product (GDP);Ireland;2001-01-01;0.23
Higher education sector;Percentage of gross domestic product (GDP);Iceland;2001-01-01;0.54
Higher education sector;Percentage of gross domestic product (GDP);Italy;2001-01-01;0.34
Higher education sector;Percentage of gross domestic product (GDP);Japan;2001-01-01;0.43
Higher education sector;Percentage of gross domestic product (GDP);South Korea;2001-01-01;0.24
Higher education sector;Percentage of gross domestic product (GDP);Lithuania;2001-01-01;0.21
Higher education sector;Percentage of gross domestic product (GDP);Luxembourg;2001-01-01;0.01
Higher education sector;Percentage of gross domestic product (GDP);Latvia;2001-01-01;0.17
Higher education sector;Percentage of gross domestic product (GDP);Netherlands;2001-01-01;0.57
Higher education sector;Percentage of gross domestic product (GDP);Norway;2001-01-01;0.4
Higher education sector;Percentage of gross domestic product (GDP);Poland;2001-01-01;0.2
Higher education sector;Percentage of gross domestic product (GDP);Portugal;2001-01-01;0.28
Higher education sector;Percentage of gross domestic product (GDP);Romania;2001-01-01;0.04
Higher education sector;Percentage of gross domestic product (GDP);Russia;2001-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Sweden;2001-01-01;0.77
Higher education sector;Percentage of gross domestic product (GDP);Slovenia;2001-01-01;0.24
Higher education sector;Percentage of gross domestic product (GDP);Slovakia;2001-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Turkey;2001-01-01;0.31
Higher education sector;Percentage of gross domestic product (GDP);United Kingdom;2001-01-01;0.37
Higher education sector;Percentage of gross domestic product (GDP);United States;2001-01-01;0.32
Private non-profit sector;Percentage of gross domestic product (GDP);Belgium;2001-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Bulgaria;2001-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Cyprus;2001-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Czechia;2001-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Denmark;2001-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2001-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Estonia;2001-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Greece;2001-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Spain;2001-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);European Union (current composition);2001-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Finland;2001-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);France;2001-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Iceland;2001-01-01;0.06
Private non-profit sector;Percentage of gross domestic product (GDP);Japan;2001-01-01;0.07
Private non-profit sector;Percentage of gross domestic product (GDP);South Korea;2001-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Latvia;2001-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Netherlands;2001-01-01;NA
Private non-profit sector;Percentage of gross domestic product (GDP);Poland;2001-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Portugal;2001-01-01;0.08
Private non-profit sector;Percentage of gross domestic product (GDP);Russia;2001-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Sweden;2001-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Slovenia;2001-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Slovakia;2001-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);United Kingdom;2001-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);United States;2001-01-01;0.11
All sectors;Percentage of gross domestic product (GDP);Austria;2001-01-01;1.99
All sectors;Percentage of gross domestic product (GDP);Belgium;2001-01-01;2.02
All sectors;Percentage of gross domestic product (GDP);Bulgaria;2001-01-01;0.45
All sectors;Percentage of gross domestic product (GDP);Cyprus;2001-01-01;0.24
All sectors;Percentage of gross domestic product (GDP);Czechia;2001-01-01;1.11
All sectors;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2001-01-01;2.4
All sectors;Percentage of gross domestic product (GDP);Denmark;2001-01-01;2.32
All sectors;Percentage of gross domestic product (GDP);Euro area (19 countries);2001-01-01;1.8
All sectors;Percentage of gross domestic product (GDP);Estonia;2001-01-01;0.7
All sectors;Percentage of gross domestic product (GDP);Greece;2001-01-01;0.56
All sectors;Percentage of gross domestic product (GDP);Spain;2001-01-01;0.89
All sectors;Percentage of gross domestic product (GDP);European Union (current composition);2001-01-01;1.79
All sectors;Percentage of gross domestic product (GDP);Finland;2001-01-01;3.2
All sectors;Percentage of gross domestic product (GDP);France;2001-01-01;2.14
All sectors;Percentage of gross domestic product (GDP);Hungary;2001-01-01;0.91
All sectors;Percentage of gross domestic product (GDP);Ireland;2001-01-01;1.05
All sectors;Percentage of gross domestic product (GDP);Iceland;2001-01-01;2.85
All sectors;Percentage of gross domestic product (GDP);Italy;2001-01-01;1.04
All sectors;Percentage of gross domestic product (GDP);Japan;2001-01-01;2.97
All sectors;Percentage of gross domestic product (GDP);South Korea;2001-01-01;2.34
All sectors;Percentage of gross domestic product (GDP);Lithuania;2001-01-01;0.67
All sectors;Percentage of gross domestic product (GDP);Latvia;2001-01-01;0.4
All sectors;Percentage of gross domestic product (GDP);Netherlands;2001-01-01;1.8
All sectors;Percentage of gross domestic product (GDP);Norway;2001-01-01;1.56
All sectors;Percentage of gross domestic product (GDP);Poland;2001-01-01;0.62
All sectors;Percentage of gross domestic product (GDP);Portugal;2001-01-01;0.76
All sectors;Percentage of gross domestic product (GDP);Romania;2001-01-01;0.39
All sectors;Percentage of gross domestic product (GDP);Russia;2001-01-01;1.09
All sectors;Percentage of gross domestic product (GDP);Sweden;2001-01-01;3.91
All sectors;Percentage of gross domestic product (GDP);Slovenia;2001-01-01;1.47
All sectors;Percentage of gross domestic product (GDP);Slovakia;2001-01-01;0.63
All sectors;Percentage of gross domestic product (GDP);Turkey;2001-01-01;0.53
All sectors;Percentage of gross domestic product (GDP);United Kingdom;2001-01-01;1.62
All sectors;Percentage of gross domestic product (GDP);United States;2001-01-01;2.65
Business enterprise sector;Percentage of gross domestic product (GDP);Austria;2002-01-01;1.38
Business enterprise sector;Percentage of gross domestic product (GDP);Belgium;2002-01-01;1.33
Business enterprise sector;Percentage of gross domestic product (GDP);Bulgaria;2002-01-01;0.09
Business enterprise sector;Percentage of gross domestic product (GDP);Cyprus;2002-01-01;0.06
Business enterprise sector;Percentage of gross domestic product (GDP);Czechia;2002-01-01;0.67
Business enterprise sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2002-01-01;1.67
Business enterprise sector;Percentage of gross domestic product (GDP);Denmark;2002-01-01;1.69
Business enterprise sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2002-01-01;1.14
Business enterprise sector;Percentage of gross domestic product (GDP);Estonia;2002-01-01;0.22
Business enterprise sector;Percentage of gross domestic product (GDP);Greece;2002-01-01;0.18
Business enterprise sector;Percentage of gross domestic product (GDP);Spain;2002-01-01;0.52
Business enterprise sector;Percentage of gross domestic product (GDP);European Union (current composition);2002-01-01;1.14
Business enterprise sector;Percentage of gross domestic product (GDP);Finland;2002-01-01;2.28
Business enterprise sector;Percentage of gross domestic product (GDP);France;2002-01-01;1.38
Business enterprise sector;Percentage of gross domestic product (GDP);Croatia;2002-01-01;0.4
Business enterprise sector;Percentage of gross domestic product (GDP);Hungary;2002-01-01;0.35
Business enterprise sector;Percentage of gross domestic product (GDP);Ireland;2002-01-01;0.73
Business enterprise sector;Percentage of gross domestic product (GDP);Iceland;2002-01-01;1.62
Business enterprise sector;Percentage of gross domestic product (GDP);Italy;2002-01-01;0.52
Business enterprise sector;Percentage of gross domestic product (GDP);Japan;2002-01-01;2.24
Business enterprise sector;Percentage of gross domestic product (GDP);South Korea;2002-01-01;1.7
Business enterprise sector;Percentage of gross domestic product (GDP);Lithuania;2002-01-01;0.11
Business enterprise sector;Percentage of gross domestic product (GDP);Latvia;2002-01-01;0.17
Business enterprise sector;Percentage of gross domestic product (GDP);Malta;2002-01-01;0.06
Business enterprise sector;Percentage of gross domestic product (GDP);Netherlands;2002-01-01;0.91
Business enterprise sector;Percentage of gross domestic product (GDP);Norway;2002-01-01;0.94
Business enterprise sector;Percentage of gross domestic product (GDP);Poland;2002-01-01;0.11
Business enterprise sector;Percentage of gross domestic product (GDP);Portugal;2002-01-01;0.23
Business enterprise sector;Percentage of gross domestic product (GDP);Romania;2002-01-01;0.23
Business enterprise sector;Percentage of gross domestic product (GDP);Russia;2002-01-01;0.81
Business enterprise sector;Percentage of gross domestic product (GDP);Slovenia;2002-01-01;0.86
Business enterprise sector;Percentage of gross domestic product (GDP);Slovakia;2002-01-01;0.36
Business enterprise sector;Percentage of gross domestic product (GDP);Turkey;2002-01-01;0.15
Business enterprise sector;Percentage of gross domestic product (GDP);United Kingdom;2002-01-01;1.05
Business enterprise sector;Percentage of gross domestic product (GDP);United States;2002-01-01;1.77
Government sector;Percentage of gross domestic product (GDP);Austria;2002-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Belgium;2002-01-01;0.14
Government sector;Percentage of gross domestic product (GDP);Bulgaria;2002-01-01;0.33
